_id,amount,brand,category,description,price,stock,tipo,url
"""668ef95397a0cf4d393d3fba""",gaseosa,pomelo,cunnington,3lt,1800,bebidas_sin_alcohol,https://res.cloudinary.com/dp7xhhcec/image/upload/v1720645971/mozddb7moruseabwsdby.webp,true
"""668ef97697a0cf4d393d3fbb""",gaseosa,indian tonic,cunnington,3lt,1800,bebidas_sin_alcohol,https://res.cloudinary.com/dp7xhhcec/image/upload/v1720646005/wat7dzu02aey9egjjqk0.webp,true
"""668ef97f97a0cf4d393d3fbc""",gaseosa,indian tonic,cunnington,1.5lt,1100,bebidas_sin_alcohol,https://res.cloudinary.com/dp7xhhcec/image/upload/v1720646014/bfvltjtfkkmgwsow5t0j.webp,true
"""669e67e2c0806accd663bdb4""",chocolate,rocklets,cofler,55 gr,2900,golosinas,,false
"""669e67f8c0806accd663bdb5""",Chocolate,almendras,cofler,100g,1700,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657335/vys7hmygeti1yoqz50s4.webp,false
"""669e6805c0806accd663bdb6""",chocolate,tres placeres,cofler,100g,2900,golosinas,,false
"""669e682ec0806accd663bdb7""",Chocolate,bon o bon,cofler,67g,1700,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657390/hida5jjpkrpsmbewufhc.webp,false
"""669e684cc0806accd663bdb8""",chocolate,yogur frutilla,cofler,64g,1700,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657420/cbpzyxpw2t8d5h6rrwve.webp,false
"""669e6876c0806accd663bdb9""",chocolate,con leche,cofler,140g,1700,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657462/utqrol7bvohyky7khesn.webp,false
"""669e688fc0806accd663bdba""",chocolate,50% cacao,cofler,55g,1700,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657486/sgcacxcna8rpu3eatemz.webp,false
"""669e68a4c0806accd663bdbb""",chocolate,con leche,cofler,18g,480,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657508/xoos6mw6rnr1icq6szfx.webp,false
"""669e6907c0806accd663bdbc""",galleta,opera,Bagley,55g,470,galletas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657607/fpqqdlgaokrozvnsr5mq.webp,false
"""669e6976c0806accd663bdbd""",galleta,sonrisas,Bagley,108g,1050,galletas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657717/yapacweqq2npwld0pt3h.webp,true
"""669e6986c0806accd663bdbe""",galleta,merengadas,Bagley,108g,750,galletas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657733/jnml6z1hjlxon30rjnzg.webp,false
"""669e69d6c0806accd663bdbf""",stack,hecha con queso,kesitas,125g,1200,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657814/cp0zv7oywbgt3jqgwk1y.webp,false
"""669e69efc0806accd663bdc0""",stack,sabor original,rex traviata,125g,1200,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657839/kfgka8l0nn69fdgwjyt6.webp,true
"""669e6a16c0806accd663bdc1""",galleta,criollitas,Bagley,300g,1200,galletas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657877/clg0uzauxjoxyzaumw9w.webp,false
"""669e6a3cc0806accd663bdc2""",chocolate,semiamargo,aguila,100g,3600,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657916/mjfh6yrn9lyz2o1hajis.webp,true
"""669e6a5ac0806accd663bdc3""",chocolate,amargo 60% cacao,aguila,150g,5400,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657946/hvuchaszutnjwgnld8xo.webp,true
"""669e6a69c0806accd663bdc4""",chocolate,amargo 70% cacao,aguila,150g,6150,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721657961/stbf0g0djvyemcehjskf.webp,true
